titulo,valoracion,precio,ventas,disponibles,envio,tienda,valorizacion,ventas_vendedor
"Macbook Air 13'' Procesador Apple M1 (8 Gb Ram, 256 Gb Ssd) Color Gris espacial - Distribuidor autorizado",5.0,3999 soles,Nuevo | +500 vendidos,(31 disponibles),Envío gratis,,MercadoLíder Gold,+5mil
Acer Nitro 5 Ci7-11800h 16gb 1tb+512gb Ssd Rtx3050ti 4gb W11,,5499 soles con 34 céntimos,Nuevo | 4 vendidos,(2 disponibles),Envío gratis,,MercadoLíder Gold,+100
Laptop Hp Amd Ryzen 5 12gb 256gb 14 Window 11 Home Color Plateado,,1999 soles,Nuevo | 2 vendidos,(30 disponibles),Envío gratis,,,+5mil
Laptop Lenovo V15 G3 Ci5 12vagen 24gb Ram 512gb Ssd+1tbhdd,,2460 soles con 50 céntimos,Nuevo | +5 vendidos,(4 disponibles),Envío gratis,,MercadoLíder Gold,+500
Macbook Pro 13 (2022) Chip M2 Apple / 8gb Ram Ssd 256gb,,5369 soles,Nuevo | +25 vendidos,,Envío gratis,,MercadoLíder Gold,+1000
"Apple Macbook Air 13,6 Chip M2 256gb",,4859 soles,Nuevo | 3 vendidos,,Envío gratis,,MercadoLíder Gold,+100
"MacBook Pro 16-inch 2023 gris espacial 16.2"", Apple M2 Max 96GB de RAM 2 TB SSD, Apple M2 Max 38-Core GPU 120 Hz 3456x2234px macOS",,23499 soles,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
Asus Tuf Dash F15 Core I7 12650h 32ddr5 1tb Ssd Rtx3070 15.6,,7089 soles,Nuevo | +5 vendidos,(3 disponibles),Envío gratis,,MercadoLíder Gold,+100
Macbook Pro 16 (2023) Chip M2 Pro Apple Ssd 512gb / 16gb Ram,5.0,9920 soles,Nuevo | +5 vendidos,,Envío gratis,,MercadoLíder Gold,+1000
Apple Macbook Air 15 Chip M2 512gb Ssd / 8gb Ram 2023,,7299 soles,Nuevo | 3 vendidos,,Envío gratis,,MercadoLíder Gold,+1000
Laptop Lenovo V15 15.6'' Fhd Ci7-1165g7 16gb 1tb+256ssd W11,5.0,2999 soles con 35 céntimos,Nuevo | +5 vendidos,(18 disponibles),Envío gratis,,MercadoLíder Gold,+100
Msi Raider Ge76 17.3' Core I9-12900h 1tbssd 32gb Ram Rtx3060,,8789 soles,Nuevo | +5 vendidos,(3 disponibles),Envío gratis,,MercadoLíder Gold,+100
"MacBook Pro 16-inch 2023 space gray 16.2"", Apple M2 Max 32GB de RAM 1 TB SSD, Apple M2 Max 38-Core GPU 120 Hz 3456x2234px macOS",,,,,,,,
Macbook Pro 14 M2 Pro 16gb Ram 512ssd Teclado Español,,9699 soles,Nuevo | 4 vendidos,(3 disponibles),Envío gratis,,MercadoLíder Gold,+1000
Laptop Asus X1605 16' Ips I5 11va 16gb 512ssd W11,,2748 soles con 80 céntimos,Nuevo | +5 vendidos,(2 disponibles),Envío gratis,,MercadoLíder Gold,+1000
